"gene","accession_idsorted","LAP_SD_WW","annotation","symbol"
"AT1G62720",9567,-0.0093,"Pentatricopeptide repeat (PPR-like) superfamily protein(NG1)","NG1"
"AT1G70300",8357,-0.0093,"K+ uptake permease 6(KUP6)","KUP6"
"AT2G31490",9874,-0.0093,"neuronal acetylcholine receptor subunit alpha-5(AT2G31490)","AT2G31490"
"AT1G44100",9568,-0.0094,"amino acid permease 5(AAP5)","AAP5"
"AT3G03080",9547,-0.0094,"Zinc-binding dehydrogenase family protein(AT3G03080)","AT3G03080"
"AT3G53230",9832,-0.0094,"ATPase, AAA-type, CDC48 protein(AtCDC48B)","AtCDC48B"
"AT3G59580",6970,-0.0094,"Plant regulator RWP-RK family protein(AT3G59580)","AT3G59580"
"AT5G56250",9543,-0.0094,"hapless 8(HAP8)","HAP8"
"AT1G13520",9567,-0.0095,"hypothetical protein (DUF1262)(AT1G13520)","AT1G13520"
"AT2G25510",9601,-0.0095,"transmembrane protein(AT2G25510)","AT2G25510"
"AT3G18020",9588,-0.0095,"Pentatricopeptide repeat (PPR) superfamily protein(AT3G18020)","AT3G18020"
"AT3G45740",9526,-0.0095,"hydrolase family protein / HAD-superfamily protein(AT3G45740)","AT3G45740"
"AT4G12720",9588,-0.0095,"MutT/nudix family protein(NUDT7)","NUDT7"
"AT5G57050",9557,-0.0095,"Protein phosphatase 2C family protein(ABI2)","ABI2"
"AT5G57220",9874,-0.0095,"cytochrome P450, family 81, subfamily F, polypeptide 2(CYP81F2)","CYP81F2"
"AT1G13740",9522,-0.0096,"ABI five binding protein 2(AFP2)","AFP2"
"AT1G73180",9880,-0.0096,"Eukaryotic translation initiation factor eIF2A family protein(AT1G73180)","AT1G73180"
"AT3G12145",9871,-0.0096,"Leucine-rich repeat (LRR) family protein(FLR1)","FLR1"
"AT4G22910",9586,-0.0097,"FIZZY-related 2(FZR2)","FZR2"
"AT5G05090",9846,-0.0097,"Homeodomain-like superfamily protein(AT5G05090)","AT5G05090"
"AT5G11440",8357,-0.0097,"CTC-interacting domain 5(CID5)","CID5"
"AT5G45860",9584,-0.0097,"PYR1-like 11(PYL11)","PYL11"
"AT1G71450",9550,-0.0098,"Integrase-type DNA-binding superfamily protein(AT1G71450)","AT1G71450"
"AT3G49060",9531,-0.0098,"U-box domain-containing protein kinase family protein(AT3G49060)","AT3G49060"
"AT3G54640",9601,-0.0098,"tryptophan synthase alpha chain(TSA1)","TSA1"
"AT4G18290",8357,-0.0098,"potassium channel KAT1-like protein(KAT2)","KAT2"
"AT5G06690",9568,-0.0098,"WCRKC thioredoxin 1(WCRKC1)","WCRKC1"
"AT5G16470",9518,-0.0098,"zinc finger (C2H2 type) family protein(AT5G16470)","AT5G16470"
"AT5G64110",9905,-0.0098,"Peroxidase superfamily protein(AT5G64110)","AT5G64110"
"AT1G03750",9880,-0.0099,"switch 2(SWI2)","SWI2"
"AT1G49700",9524,-0.0099,"Plant protein 1589 of unknown function(AT1G49700)","AT1G49700"
"AT2G09187",9567,-0.0099,"hypothetical protein(AT2G09187)","AT2G09187"
"AT3G04420",6970,-0.0099,"NAC domain containing protein 48(NAC048)","NAC048"
"AT1G10880",9844,-0.01,"core-2/I-branching beta-1,6-n-acetylglucosaminyltransferase family protein(AT1G10880)","AT1G10880"
"AT1G47280",9944,-0.01,"hypothetical protein(AT1G47280)","AT1G47280"
"AT1G53090",9905,-0.01,"SPA1-related 4(SPA4)","SPA4"
"AT1G71370",9518,-0.01,"DEA(D/H)-box RNA helicase family protein(AT1G71370)","AT1G71370"
"AT2G20940",9855,-0.01,"transmembrane protein, putative (DUF1279)(AT2G20940)","AT2G20940"
"AT2G22900",9846,-0.01,"Galactosyl transferase GMA12/MNN10 family protein(AT2G22900)","AT2G22900"
"AT2G23690",9880,-0.01,"HTH-type transcriptional regulator(AT2G23690)","AT2G23690"
"AT2G39230",9846,-0.01,"LATERAL ORGAN JUNCTION(LOJ)","LOJ"
"AT2G45530",9560,-0.01,"RING/U-box superfamily protein(AT2G45530)","AT2G45530"
"AT3G06750",9547,-0.01,"hydroxyproline-rich glycoprotein family protein(AT3G06750)","AT3G06750"
"AT3G14280",9871,-0.01,"LL-diaminopimelate aminotransferase(AT3G14280)","AT3G14280"
"AT3G28860",9526,-0.01,"ATP binding cassette subfamily B19(ABCB19)","ABCB19"
"AT3G55620",9588,-0.01,"Translation initiation factor IF6(eIF6A)","eIF6A"
"AT4G11340",9880,-0.01,"Disease resistance protein (TIR-NBS-LRR class) family(AT4G11340)","AT4G11340"
"AT4G14605",9550,-0.01,"Mitochondrial transcription termination factor family protein(MDA1)","MDA1"
"AT4G24670",9587,-0.01,"tryptophan aminotransferase related 2(TAR2)","TAR2"
"AT4G25600",9526,-0.01,"Oxoglutarate/iron-dependent oxygenase(AT4G25600)","AT4G25600"
"AT4G28270",9874,-0.01,"RING membrane-anchor 2(RMA2)","RMA2"
"AT4G31830",9846,-0.01,"transmembrane protein(AT4G31830)","AT4G31830"
"AT4G32230",8357,-0.01,"hypothetical protein(AT4G32230)","AT4G32230"
"AT4G39520",9524,-0.01,"GTP-binding protein-like protein(AT4G39520)","AT4G39520"
"AT5G07700",9524,-0.01,"myb domain protein 76(MYB76)","MYB76"
"AT5G24990",9524,-0.01,"enhanced disease resistance-like protein (DUF1336)(AT5G24990)","AT5G24990"
"AT5G58930",9905,-0.01,"hypothetical protein (DUF740)(AT5G58930)","AT5G58930"
"AT5G58970",9518,-0.01,"uncoupling protein 2(UCP2)","UCP2"
"AT5G63620",9588,-0.01,"GroES-like zinc-binding alcohol dehydrogenase family protein(AT5G63620)","AT5G63620"
"AT5G64560",9543,-0.01,"magnesium transporter 9(MGT9)","MGT9"
"AT5G66820",9557,-0.01,"transmembrane protein(AT5G66820)","AT5G66820"
"AT1G02490",9557,-0.011,"hypothetical protein(AT1G02490)","AT1G02490"
"AT1G11250",9846,-0.011,"syntaxin of plants 125(SYP125)","SYP125"
"AT1G12400",9533,-0.011,"Nucleotide excision repair, TFIIH, subunit TTDA(AT1G12400)","AT1G12400"
"AT1G18090",9819,-0.011,"5'-3' exonuclease family protein(AT1G18090)","AT1G18090"
"AT1G20860",9560,-0.011,"phosphate transporter 1;8(PHT1;8)","PHT1;8"
"AT1G24300",9526,-0.011,"GYF domain-containing protein(AT1G24300)","AT1G24300"
"AT1G30550",9524,-0.011,"S-adenosyl-L-methionine-dependent methyltransferase superfamily protein(AT1G30550)","AT1G30550"
"AT1G30755",9825,-0.011,"elongation factor G, putative (DUF668)(AT1G30755)","AT1G30755"
"AT1G72500",9880,-0.011,"inter alpha-trypsin inhibitor, heavy chain-like protein(AT1G72500)","AT1G72500"
"AT1G73580",9518,-0.011,"Calcium-dependent lipid-binding (CaLB domain) family protein(AT1G73580)","AT1G73580"
"AT2G04690",9584,-0.011,"Pyridoxamine 5'-phosphate oxidase family protein(AT2G04690)","AT2G04690"
"AT2G04795",9601,-0.011,"hypothetical protein(AT2G04795)","AT2G04795"
"AT2G16990",9871,-0.011,"Major facilitator superfamily protein(AT2G16990)","AT2G16990"
"AT2G26180",9586,-0.011,"IQ-domain 6(IQD6)","IQD6"
"AT2G26660",9874,-0.011,"SPX domain-containing protein 2 (SPX2)(SPX2)","SPX2"
"AT2G29290",9880,-0.011,"NAD(P)-binding Rossmann-fold superfamily protein(AT2G29290)","AT2G29290"
"AT2G30980",9560,-0.011,"SHAGGY-related protein kinase dZeta(SKdZeta)","SKdZeta"
"AT2G35920",9560,-0.011,"RNA helicase family protein(AT2G35920)","AT2G35920"
"AT2G38320",9547,-0.011,"TRICHOME BIREFRINGENCE-LIKE 34(TBL34)","TBL34"
"AT3G02720",9533,-0.011,"Class I glutamine amidotransferase-like superfamily protein(DJ1D)","DJ1D"
"AT3G13270",9557,-0.011,"hypothetical protein(AT3G13270)","AT3G13270"
"AT3G18290",9568,-0.011,"zinc finger protein-like protein(BTS)","BTS"
"AT3G22430",9845,-0.011,"RNA recognition motif XS domain protein(AT3G22430)","AT3G22430"
"AT3G25260",9531,-0.011,"Major facilitator superfamily protein(AT3G25260)","AT3G25260"
"AT3G47160",9601,-0.011,"RING/U-box superfamily protein(AT3G47160)","AT3G47160"
"AT3G48940",9880,-0.011,"Remorin family protein(AT3G48940)","AT3G48940"
"AT3G56650",9557,-0.011,"thylakoid lumenal protein (Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein)(PPD6)","PPD6"
"AT3G57320",9557,-0.011,"threonine-tRNA ligase 2(AT3G57320)","AT3G57320"
"AT3G59250",9522,-0.011,"F-box/RNI-like superfamily protein(AT3G59250)","AT3G59250"
"AT3G61900",9598,-0.011,"SAUR-like auxin-responsive protein family(AT3G61900)","AT3G61900"
"AT4G00570",9874,-0.011,"NAD-dependent malic enzyme 2(NAD-ME2)","NAD-ME2"
"AT4G01200",9944,-0.011,"Calcium-dependent lipid-binding (CaLB domain) family protein(AT4G01200)","AT4G01200"
"AT4G02150",9533,-0.011,"ARM repeat superfamily protein(MOS6)","MOS6"
"AT4G19820",9526,-0.011,"Glycosyl hydrolase family protein with chitinase insertion domain-containing protein(AT4G19820)","AT4G19820"
"AT4G22150",9547,-0.011,"UBA/UBX domain protein(PUX3)","PUX3"
"AT4G37330",9844,-0.011,"cytochrome P450, family 81, subfamily D, polypeptide 4(CYP81D4)","CYP81D4"
"AT5G11600",9587,-0.011,"hypothetical protein(AT5G11600)","AT5G11600"
"AT5G20200",9871,-0.011,"nucleoporin-like protein(AT5G20200)","AT5G20200"
"AT5G24980",9522,-0.011,"transmembrane protein(AT5G24980)","AT5G24980"
"AT5G36240",9522,-0.011,"zinc knuckle (CCHC-type) family protein(AT5G36240)","AT5G36240"
"AT5G44010",9846,-0.011,"fanconi anemia group F protein (FANCF)(AT5G44010)","FANCF"
"AT5G53080",9825,-0.011,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G53080)","AT5G53080"
"AT5G64040",9844,-0.011,"photosystem I reaction center subunit PSI-N, chloroplast, putative / PSI-N, putative (PSAN)(PSAN)","PSAN"
"AT5G64900",9550,-0.011,"precursor of peptide 1(PROPEP1)","PROPEP1"
"AT1G04570",9557,-0.012,"Major facilitator superfamily protein(AT1G04570)","AT1G04570"
"AT1G11570",9844,-0.012,"NTF2-like protein(NTL)","NTL"
"AT1G17050",9832,-0.012,"solanesyl diphosphate synthase 2(SPS2)","SPS2"
"AT1G22530",9825,-0.012,"PATELLIN 2(PATL2)","PATL2"
"AT1G23740",9601,-0.012,"Oxidoreductase, zinc-binding dehydrogenase family protein(AOR)","AOR"
"AT1G28290",9533,-0.012,"arabinogalactan protein 31(AGP31)","AGP31"
"AT1G49470",9587,-0.012,"transmembrane epididymal protein (DUF716)(AT1G49470)","AT1G49470"
"AT1G60505",9584,-0.012,"ncRNA(AT1G60505)","AT1G60505"
"AT1G61070",9874,-0.012,"low-molecular-weight cysteine-rich 66(LCR66)","LCR66"
"AT1G61450",8357,-0.012,"CAP-gly domain linker(AT1G61450)","AT1G61450"
"AT1G61580",9560,-0.012,"R-protein L3 B(RPL3B)","RPL3B"
"AT1G71500",9568,-0.012,"Rieske (2Fe-2S) domain-containing protein(AT1G71500)","AT1G71500"
"AT1G73460",9845,-0.012,"Protein kinase superfamily protein(AT1G73460)","AT1G73460"
"AT1G75990",6970,-0.012,"PAM domain (PCI/PINT associated module) protein(AT1G75990)","AT1G75990"
"AT1G76430",9550,-0.012,"phosphate transporter 1;9(PHT1;9)","PHT1;9"
"AT2G18900",9526,-0.012,"Transducin/WD40 repeat-like superfamily protein(AT2G18900)","AT2G18900"
"AT2G19110",9598,-0.012,"heavy metal atpase 4(HMA4)","HMA4"
"AT2G37170",9880,-0.012,"plasma membrane intrinsic protein 2(PIP2B)","PIP2B"
"AT3G05650",9832,-0.012,"receptor like protein 32(RLP32)","RLP32"
"AT3G09670",9598,-0.012,"Tudor/PWWP/MBT superfamily protein(AT3G09670)","AT3G09670"
"AT3G18110",9855,-0.012,"Pentatricopeptide repeat (PPR) superfamily protein(EMB1270)","EMB1270"
"AT3G18300",9586,-0.012,"hypothetical protein(AT3G18300)","AT3G18300"
"AT3G21010",9524,-0.012,"hypothetical protein(AT3G21010)","AT3G21010"
"AT3G24040",9522,-0.012,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein(AT3G24040)","AT3G24040"
"AT3G27870",9825,-0.012,"ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein(AT3G27870)","AT3G27870"
"AT3G28270",9846,-0.012,"transmembrane protein, putative (DUF677)(AT3G28270)","AT3G28270"
"AT3G29630",9524,-0.012,"UDP-Glycosyltransferase superfamily protein(AT3G29630)","AT3G29630"
"AT3G42800",6970,-0.012,"AF-like protein(AT3G42800)","AT3G42800"
"AT3G44550",9586,-0.012,"fatty acid reductase 5(FAR5)","FAR5"
"AT3G45860",9584,-0.012,"cysteine-rich RLK (RECEPTOR-like protein kinase) 4(CRK4)","CRK4"
"AT3G46790",9844,-0.012,"Tetratricopeptide repeat (TPR)-like superfamily protein(CRR2)","CRR2"
"AT3G53200",9601,-0.012,"myb domain protein 27(MYB27)","MYB27"
"AT3G60550",9601,-0.012,"cyclin p3;2(CYCP3;2)","CYCP3;2"
"AT4G00310",9531,-0.012,"Putative membrane lipoprotein(EDA8)","EDA8"
"AT4G03260",9586,-0.012,"Outer arm dynein light chain 1 protein(AT4G03260)","AT4G03260"
"AT4G11130",9550,-0.012,"RNA-dependent RNA polymerase 2(RDR2)","RDR2"
"AT4G16144",9568,-0.012,"associated molecule with the SH3 domain of STAM 3(AMSH3)","AMSH3"
"AT4G17905",6970,-0.012,"RING/U-box superfamily protein(ATL4H)","ATL4H"
"AT4G26510",9832,-0.012,"uridine kinase-like 4(UKL4)","UKL4"
"AT4G27940",9880,-0.012,"manganese tracking factor for mitochondrial SOD2(MTM1)","MTM1"
"AT4G33520",9874,-0.012,"P-type ATP-ase 1(PAA1)","PAA1"
"AT4G38810",9522,-0.012,"Calcium-binding EF-hand family protein(AT4G38810)","AT4G38810"
"AT5G05590",9547,-0.012,"phosphoribosylanthranilate isomerase 2(PAI2)","PAI2"
"AT5G26749",8357,-0.012,"C2H2 and C2HC zinc fingers superfamily protein(AT5G26749)","AT5G26749"
"AT5G27902",9874,-0.012,"hypothetical protein(AT5G27902)","AT5G27902"
"AT5G28888",9543,-0.012,"hypothetical protein(AT5G28888)","AT5G28888"
"AT5G46030",9871,-0.012,"transcription elongation factor-like protein(AT5G46030)","AT5G46030"
"AT5G46470",9522,-0.012,"disease resistance protein (TIR-NBS-LRR class) family(RPS6)","RPS6"
"AT5G48800",9825,-0.012,"Phototropic-responsive NPH3 family protein(AT5G48800)","AT5G48800"
"AT5G50375",9518,-0.012,"cyclopropyl isomerase(CPI1)","CPI1"
"AT5G55130",9531,-0.012,"co-factor for nitrate, reductase and xanthine dehydrogenase 5(CNX5)","CNX5"
"AT5G61800",9832,-0.012,"Pentatricopeptide repeat (PPR) superfamily protein(AT5G61800)","AT5G61800"
"ATCG01130",9593,-0.012,"YCF1.2","YCF1.2"
"AT1G01520",9586,-0.013,"Homeodomain-like superfamily protein(ASG4)","ASG4"
"AT1G06640",9560,-0.013,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT1G06640)","AT1G06640"
"AT1G19950",9880,-0.013,"HVA22-like protein H (ATHVA22H)(HVA22H)","HVA22H"
"AT1G34245",6970,-0.013,"Putative membrane lipoprotein(EPF2)","EPF2"
"AT1G44050",9557,-0.013,"Cysteine/Histidine-rich C1 domain family protein(AT1G44050)","AT1G44050"
"AT1G50730",9845,-0.013,"hypothetical protein(AT1G50730)","AT1G50730"
"AT1G70220",9855,-0.013,"RNA-processing, Lsm domain-containing protein(AT1G70220)","AT1G70220"
"AT1G70280",9944,-0.013,"NHL domain-containing protein(AT1G70280)","AT1G70280"
"AT1G73400",9598,-0.013,"Pentatricopeptide repeat (PPR) superfamily protein(AT1G73400)","AT1G73400"
"AT1G74860",9944,-0.013,"hypothetical protein(AT1G74860)","AT1G74860"
"AT1G75010",9568,-0.013,"GTP binding protein(ARC3)","ARC3"
"AT1G76135",9584,-0.013,"miscRNA(MIR394b)","MIR394b"
"AT1G79460",9944,-0.013,"Terpenoid cyclases/Protein prenyltransferases superfamily protein(GA2)","GA2"
"AT1G80245",9543,-0.013,"Spc97 / Spc98 family of spindle pole body (SBP) component(AT1G80245)","AT1G80245"
"AT2G02680",9825,-0.013,"Cysteine/Histidine-rich C1 domain family protein(AT2G02680)","AT2G02680"
"AT2G02870",9543,-0.013,"Galactose oxidase/kelch repeat superfamily protein(AT2G02870)","AT2G02870"
"AT2G04378",9819,-0.013,"Beta-galactosidase related protein(AT2G04378)","AT2G04378"
"AT2G11520",9601,-0.013,"calmodulin-binding receptor-like cytoplasmic kinase 3(CRCK3)","CRCK3"
"AT2G14110",9533,-0.013,"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT2G14110)","AT2G14110"
"AT2G18980",9567,-0.013,"Peroxidase superfamily protein(AT2G18980)","AT2G18980"
"AT2G31083",9819,-0.013,"CLAVATA3/ESR-RELATED 5(CLE5)","CLE5"
"AT2G35410",9819,-0.013,"RNA-binding (RRM/RBD/RNP motifs) family protein(AT2G35410)","AT2G35410"
"AT2G44995",9855,-0.013,"ncRNA(AT2G44995)","AT2G44995"
"AT2G45240",9588,-0.013,"methionine aminopeptidase 1A(MAP1A)","MAP1A"
"AT3G01970",9880,-0.013,"WRKY DNA-binding protein 45(WRKY45)","WRKY45"
"AT3G05510",9550,-0.013,"Phospholipid/glycerol acyltransferase family protein(AT3G05510)","AT3G05510"
"AT3G06020",6970,-0.013,"FANTASTIC four-like protein (DUF3049)(FAF4)","FAF4"
"AT3G11580",9543,-0.013,"AP2/B3-like transcriptional factor family protein(AT3G11580)","AT3G11580"
"AT3G14050",8357,-0.013,"RELA/SPOT homolog 2(RSH2)","RSH2"
"AT3G15830",9825,-0.013,"phosphatidic acid phosphatase-related / PAP2-like protein(AT3G15830)","AT3G15830"
"AT3G18140",9874,-0.013,"Transducin/WD40 repeat-like superfamily protein(LST8-1)","LST8-1"
"AT3G20710",9543,-0.013,"F-box family protein(AT3G20710)","AT3G20710"
"AT3G30867",8357,-0.013,"miscRNA(AT3G30867)","AT3G30867"
"AT3G43444",6970,-0.013,"hypothetical protein(AT3G43444)","AT3G43444"
"AT3G53240",9846,-0.013,"receptor like protein 45(RLP45)","RLP45"
"AT3G53880",9587,-0.013,"NAD(P)-linked oxidoreductase superfamily protein(AKR4C11)","AKR4C11"
"AT3G57610",9531,-0.013,"adenylosuccinate synthase(ADSS)","ADSS"
"AT3G61950",9832,-0.013,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT3G61950)","AT3G61950"
"AT3G63170",9522,-0.013,"Chalcone-flavanone isomerase family protein(FAP1)","FAP1"
"AT4G03060",9855,-0.013,"miscRNA(AOP2)","AOP2"
"AT4G09460",9524,-0.013,"myb domain protein 6(MYB6)","MYB6"
"AT4G15700",8357,-0.013,"Thioredoxin superfamily protein(AT4G15700)","AT4G15700"
"AT4G21800",9526,-0.013,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(QQT2)","QQT2"
"AT4G26120",9832,-0.013,"Ankyrin repeat family protein / BTB/POZ domain-containing protein(AT4G26120)","AT4G26120"
"AT4G28200",9825,-0.013,"U3 small nucleolar RNA-associated-like protein(AT4G28200)","AT4G28200"
"AT5G04860",9531,-0.013,"splicing factor 3A subunit(AT5G04860)","AT5G04860"
"AT5G09860",9531,-0.013,"nuclear matrix protein-like protein(THO1)","THO1"
"AT5G24810",9819,-0.013,"ABC1 family protein(AT5G24810)","AT5G24810"
"AT5G36120",9846,-0.013,"cofactor assembly, complex C (B6F)(CCB3)","CCB3"
"AT5G41908",9832,-0.013,"hypothetical protein(AT5G41908)","AT5G41908"
"AT5G51940",9825,-0.013,"RNA polymerase Rpb6(NRPB6A)","NRPB6A"
"AT5G67360",9871,-0.013,"Subtilase family protein(ARA12)","ARA12"
"AT1G05805",9905,-0.014,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT1G05805)","AT1G05805"
"AT1G23840",9871,-0.014,"transmembrane protein(AT1G23840)","AT1G23840"
"AT1G35630",9586,-0.014,"Protease-associated (PA) RING/U-box zinc finger family protein(AT1G35630)","AT1G35630"
"AT1G36078",6970,-0.014,"transmembrane protein(AT1G36078)","AT1G36078"
"AT1G36320",9550,-0.014,"hypothetical protein(AT1G36320)","AT1G36320"
"AT1G62225",9944,-0.014,"transmembrane protein(AT1G62225)","AT1G62225"
"AT1G64563",9855,-0.014,"ncRNA(AT1G64563)","AT1G64563"
"AT1G67660",9584,-0.014,"Restriction endonuclease, type II-like superfamily protein(AT1G67660)","AT1G67660"
"AT1G69980",9533,-0.014,"structural polyprotein(AT1G69980)","AT1G69980"
"AT1G71970",9587,-0.014,"hypothetical protein(AT1G71970)","AT1G71970"
"AT1G73530",9905,-0.014,"RNA-binding (RRM/RBD/RNP motifs) family protein(AT1G73530)","AT1G73530"
"AT1G74830",9874,-0.014,"myosin-binding protein, putative (Protein of unknown function, DUF593)(AT1G74830)","AT1G74830"
"AT2G14080",9522,-0.014,"Disease resistance protein (TIR-NBS-LRR class) family(AT2G14080)","AT2G14080"
"AT2G17020",9880,-0.014,"F-box/RNI-like superfamily protein(AT2G17020)","AT2G17020"
"AT2G21200",9598,-0.014,"SAUR-like auxin-responsive protein family(AT2G21200)","AT2G21200"
"AT2G29500",9588,-0.014,"HSP20-like chaperones superfamily protein(AT2G29500)","AT2G29500"
"AT2G31930",9905,-0.014,"hypothetical protein(AT2G31930)","AT2G31930"
"AT2G32795",9568,-0.014,"ncRNA(AT2G32795)","AT2G32795"
"AT2G34990",9586,-0.014,"RING/U-box superfamily protein(AT2G34990)","AT2G34990"
"AT2G38230",9944,-0.014,"pyridoxine biosynthesis 1.1(PDX1.1)","PDX1.1"
"AT2G40330",9531,-0.014,"PYR1-like 6(PYL6)","PYL6"
"AT3G01820",9587,-0.014,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT3G01820)","AT3G01820"
"AT3G05450",9526,-0.014,"cystatin-like protein(AT3G05450)","AT3G05450"
"AT3G23180",9846,-0.014,"HR-like lesion-inducing protein-like protein(AT3G23180)","AT3G23180"
"AT3G23800",9586,-0.014,"selenium-binding protein 3(SBP3)","SBP3"
"AT3G50700",9832,-0.014,"indeterminate(ID)-domain 2(IDD2)","IDD2"
"AT3G52460",9832,-0.014,"hydroxyproline-rich glycoprotein family protein(AT3G52460)","AT3G52460"
"AT4G04270",9567,-0.014,"hypothetical protein(AT4G04270)","AT4G04270"
"AT4G11230",9601,-0.014,"Riboflavin synthase-like superfamily protein(AT4G11230)","AT4G11230"
"AT4G16900",8357,-0.014,"Disease resistance protein (TIR-NBS-LRR class) family(AT4G16900)","AT4G16900"
"AT4G18540",9846,-0.014,"transmembrane protein(AT4G18540)","AT4G18540"
"AT4G31970",9533,-0.014,"cytochrome P450, family 82, subfamily C, polypeptide 2(CYP82C2)","CYP82C2"
"AT4G33970",9531,-0.014,"Leucine-rich repeat (LRR) family protein(AT4G33970)","AT4G33970"
"AT4G37790",9524,-0.014,"Homeobox-leucine zipper protein family(HAT22)","HAT22"
"AT5G01200",9593,-0.014,"Duplicated homeodomain-like superfamily protein(AT5G01200)","AT5G01200"
"AT5G01780",9567,-0.014,"2-oxoglutarate-dependent dioxygenase family protein(AT5G01780)","AT5G01780"
"AT5G04430",8357,-0.014,"binding to TOMV RNA 1L (long form)(BTR1L)","BTR1L"
"AT5G07520",9819,-0.014,"glycine-rich protein 18(GRP18)","GRP18"
"AT5G07590",9846,-0.014,"Transducin/WD40 repeat-like superfamily protein(AT5G07590)","AT5G07590"
"AT5G23060",9601,-0.014,"calcium sensing receptor(CaS)","CaS"
"AT5G54180",9825,-0.014,"plastid transcriptionally active 15(PTAC15)","PTAC15"
"AT1G02020",9880,-0.015,"nitroreductase family protein(AT1G02020)","AT1G02020"
"AT1G03410",8357,-0.015,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(2A6)","2A6"
"AT1G04800",6970,-0.015,"glycine-rich protein(AT1G04800)","AT1G04800"
"AT1G07128",9832,-0.015,"ncRNA(AT1G07128)","AT1G07128"
"AT1G13190",9568,-0.015,"RNA-binding (RRM/RBD/RNP motifs) family protein(AT1G13190)","AT1G13190"
